N,k,inf_rate,model,max_inf,t_max
1000.0,2.0,0.3,28,29,40
1000.0,2.0,0.3,29,26,30
1000.0,2.0,0.3,30,29,152
1000.0,2.0,0.3,31,28,24
1000.0,2.0,0.3,32,24,34
1000.0,2.0,0.3,33,31,69
1000.0,2.0,0.3,34,25,38
1000.0,2.0,0.3,35,26,32
1000.0,2.0,0.3,36,25,23
1000.0,2.0,0.3,37,32,36
1000.0,2.0,0.3,38,41,117
1000.0,2.0,0.3,39,35,21
1000.0,2.0,0.3,40,33,167
1000.0,2.0,0.3,41,24,27
1000.0,2.0,0.3,42,32,55
1000.0,2.0,0.3,43,33,104
1000.0,2.0,0.3,44,32,26
1000.0,2.0,0.3,45,26,49
1000.0,2.0,0.3,46,29,41
1000.0,2.0,0.3,47,30,55
1000.0,2.0,0.3,48,30,47
1000.0,2.0,0.3,49,34,144
1000.0,2.0,0.3,50,28,29
1000.0,2.0,0.3,51,26,18
1000.0,2.0,0.3,52,33,54
1000.0,2.0,0.3,53,26,25
1000.0,2.0,0.3,54,36,100
1000.0,2.0,0.3,55,30,20
1000.0,2.0,0.3,56,33,54
1000.0,2.0,0.3,57,19,166
1000.0,2.0,0.3,58,32,119
1000.0,2.0,0.3,59,22,17
1000.0,2.0,0.3,60,23,29
1000.0,2.0,0.3,61,36,55
1000.0,2.0,0.3,62,24,21
1000.0,2.0,0.3,63,25,71
1000.0,2.0,0.3,64,31,39
1000.0,2.0,0.3,65,37,100
1000.0,2.0,0.3,66,30,24
1000.0,2.0,0.3,67,26,163
1000.0,2.0,0.3,68,29,180
1000.0,2.0,0.3,69,29,125
1000.0,2.0,0.3,70,29,52
1000.0,2.0,0.3,71,21,31
1000.0,2.0,0.3,72,29,75
1000.0,2.0,0.3,73,17,66
1000.0,2.0,0.3,74,30,29
1000.0,2.0,0.3,75,25,21
1000.0,2.0,0.3,76,19,35
1000.0,2.0,0.3,77,25,29
1000.0,2.0,0.3,78,35,52
1000.0,2.0,0.3,79,26,31
1000.0,2.0,0.3,80,28,23
1000.0,2.0,0.3,81,31,45
1000.0,2.0,0.3,82,31,134
1000.0,2.0,0.3,83,22,19
1000.0,2.0,0.3,84,24,98
1000.0,2.0,0.3,85,31,93
1000.0,2.0,0.3,86,27,21
1000.0,2.0,0.3,87,21,49
1000.0,2.0,0.3,88,36,46
1000.0,2.0,0.3,89,30,40
1000.0,2.0,0.3,90,30,32
1000.0,2.0,0.3,91,34,21
1000.0,2.0,0.3,92,32,51
1000.0,2.0,0.3,93,27,30
1000.0,2.0,0.3,94,18,62
1000.0,2.0,0.3,95,22,15
1000.0,2.0,0.3,96,23,17
1000.0,2.0,0.3,97,33,49
1000.0,2.0,0.3,98,24,31
1000.0,2.0,0.3,99,32,31
1000.0,2.0,0.4,0,40,44
1000.0,2.0,0.4,1,40,39
1000.0,2.0,0.4,2,26,16
1000.0,2.0,0.4,3,42,120
1000.0,2.0,0.4,4,46,45
1000.0,2.0,0.4,5,41,49
1000.0,2.0,0.4,6,37,56
1000.0,2.0,0.4,7,42,131
1000.0,2.0,0.4,8,30,18
1000.0,2.0,0.4,9,31,95
1000.0,2.0,0.4,10,40,53
1000.0,2.0,0.4,11,36,19
1000.0,2.0,0.4,12,28,83
1000.0,2.0,0.4,13,43,35
1000.0,2.0,0.4,14,46,125
1000.0,2.0,0.4,15,35,49
1000.0,2.0,0.4,16,23,20
1000.0,2.0,0.4,17,38,92
1000.0,2.0,0.4,18,27,40
1000.0,2.0,0.4,19,26,76
1000.0,2.0,0.4,20,39,50
1000.0,2.0,0.4,21,18,13
1000.0,2.0,0.4,22,34,79
1000.0,2.0,0.4,23,35,29
1000.0,2.0,0.4,24,34,104
1000.0,2.0,0.4,25,35,39
1000.0,2.0,0.4,26,34,53
1000.0,2.0,0.4,27,31,52
1000.0,2.0,0.4,28,34,135
1000.0,2.0,0.4,29,17,75
1000.0,2.0,0.4,30,41,28
1000.0,2.0,0.4,31,29,28
1000.0,2.0,0.4,32,41,63
1000.0,2.0,0.4,33,25,18
1000.0,2.0,0.4,34,37,35
1000.0,2.0,0.4,35,29,18
1000.0,2.0,0.4,36,37,26
1000.0,2.0,0.4,37,29,74
1000.0,2.0,0.4,38,44,74
1000.0,2.0,0.4,39,44,57
1000.0,2.0,0.4,40,35,66
1000.0,2.0,0.4,41,28,63
1000.0,2.0,0.4,42,48,101
1000.0,2.0,0.4,43,41,50
1000.0,2.0,0.4,44,30,112
1000.0,2.0,0.4,45,38,32
1000.0,2.0,0.4,46,29,28
1000.0,2.0,0.4,47,41,40
1000.0,2.0,0.4,48,29,129
1000.0,2.0,0.4,49,22,53
1000.0,2.0,0.4,50,37,35
1000.0,2.0,0.4,51,35,60
1000.0,2.0,0.4,52,42,32
1000.0,2.0,0.4,53,36,25
1000.0,2.0,0.4,54,37,72
1000.0,2.0,0.4,55,43,48
